Name,Rkiname,Type,State,Ags,Lat,Long,Pop
Eifelkreis Bitburg-Prüm,LK Bitburg-Prüm,Landkreis,Rheinland-Pfalz,07232,50.062123,6.4072307,99058
Vulkaneifel,LK Vulkaneifel,Landkreis,Rheinland-Pfalz,07233,50.232909,6.7528997,60646
Trier-Saarburg,LK Trier-Saarburg,Landkreis,Rheinland-Pfalz,07235,49.685867,6.83965,149398
Frankenthal (Pfalz),SK Frankenthal,Stadt,Rheinland-Pfalz,07311,49.533715,8.3608617,48762
Kaiserslautern,SK Kaiserslautern,Stadt,Rheinland-Pfalz,07312,49.434653,7.768566,100030
Landau in der Pfalz,SK Landau i.d.Pfalz,Stadt,Rheinland-Pfalz,07313,49.197801,8.1146145,46881
Ludwigshafen am Rhein,SK Ludwigshafen,Stadt,Rheinland-Pfalz,07314,49.482783,8.4034095,172253
Mainz,SK Mainz,Stadt,Rheinland-Pfalz,07315,49.971827,8.2525017,218578
Neustadt an der Weinstraße,SK Neustadt a.d.Weinstraße,Stadt,Rheinland-Pfalz,07316,49.343502,8.151743,53264
Pirmasens,SK Pirmasens,Stadt,Rheinland-Pfalz,07317,49.19548,7.5914822,40231
Speyer,SK Speyer,Stadt,Rheinland-Pfalz,07318,49.33493,8.4349693,50561
Worms,SK Worms,Stadt,Rheinland-Pfalz,07319,49.649206,8.3292565,83542
Zweibrücken,SK Zweibrücken,Stadt,Rheinland-Pfalz,07320,49.25695,7.3706429,34193
Alzey-Worms,LK Alzey-Worms,Landkreis,Rheinland-Pfalz,07331,49.756662,8.163596,129687
Bad Dürkheim,LK Bad Dürkheim,Landkreis,Rheinland-Pfalz,07332,49.453295,8.1148562,132671
Donnersbergkreis,LK Donnersbergkreis,Landkreis,Rheinland-Pfalz,07333,49.629734,7.9227696,75325
Germersheim,LK Germersheim,Landkreis,Rheinland-Pfalz,07334,49.118287,8.2496793,129013
Kaiserslautern,LK Kaiserslautern,Landkreis,Rheinland-Pfalz,07335,49.419772,7.5305697,105979
Kusel,LK Kusel,Landkreis,Rheinland-Pfalz,07336,49.551705,7.4827308,70219
Südliche Weinstraße,LK Südliche Weinstraße,Landkreis,Rheinland-Pfalz,07337,49.118284,8.0029424,110521
Rhein-Pfalz-Kreis,LK Rhein-Pfalz-Kreis,Landkreis,Rheinland-Pfalz,07338,49.418276,8.3627468,154609
Mainz-Bingen,LK Mainz-Bingen,Landkreis,Rheinland-Pfalz,07339,49.917976,8.0895077,211417
Südwestpfalz,LK Südwestpfalz,Landkreis,Rheinland-Pfalz,07340,49.209205,7.6577925,94831
Stuttgart,SK Stuttgart,Stadtkreis,Baden-Württemberg,08111,48.776237,9.1728399,635911
Böblingen,LK Böblingen,Landkreis,Baden-Württemberg,08115,48.67877,8.9426598,392807
Esslingen,LK Esslingen,Landkreis,Baden-Württemberg,08116,48.648305,9.3692627,535024
Göppingen,LK Göppingen,Landkreis,Baden-Württemberg,08117,48.664115,9.7216924,258145
Ludwigsburg,LK Ludwigsburg,Landkreis,Baden-Württemberg,08118,48.940047,9.1232145,545423
Rems-Murr-Kreis,LK Rems-Murr-Kreis,Landkreis,Baden-Württemberg,08119,48.897605,9.5033594,427248
Heilbronn,SK Heilbronn,Stadtkreis,Baden-Württemberg,08121,49.152943,9.1862714,126592
Heilbronn,LK Heilbronn,Landkreis,Baden-Württemberg,08125,49.251142,9.3064101,344456
Hohenlohekreis,LK Hohenlohekreis,Landkreis,Baden-Württemberg,08126,49.267073,9.6237602,112655
Schwäbisch Hall,LK Schwäbisch Hall,Landkreis,Baden-Württemberg,08127,49.142524,9.9177417,196761
Main-Tauber-Kreis,LK Main-Tauber-Kreis,Landkreis,Baden-Württemberg,08128,49.558019,9.7317661,132399
Heidenheim,LK Heidenheim,Landkreis,Baden-Württemberg,08135,48.666696,10.18807,132777
Ostalbkreis,LK Ostalbkreis,Landkreis,Baden-Württemberg,08136,48.879565,10.099291,314025
Baden-Baden,SK Baden-Baden,Stadtkreis,Baden-Württemberg,08211,48.748736,8.2360311,55185
Karlsruhe,SK Karlsruhe,Stadtkreis,Baden-Württemberg,08212,49.015061,8.4138363,312060
Karlsruhe,LK Karlsruhe,Landkreis,Baden-Württemberg,08215,48.909521,8.4076825,445101
Rastatt,LK Rastatt,Landkreis,Baden-Württemberg,08216,48.882138,8.2248732,231420
Heidelberg,SK Heidelberg,Stadtkreis,Baden-Württemberg,08221,49.412503,8.6951968,161485
Mannheim,SK Mannheim,Stadtkreis,Baden-Württemberg,08222,49.501151,8.5037233,310658
Neckar-Odenwald-Kreis,LK Neckar-Odenwald-Kreis,Landkreis,Baden-Württemberg,08225,49.46632,9.2861412,143633
Rhein-Neckar-Kreis,LK Rhein-Neckar-Kreis,Landkreis,Baden-Württemberg,08226,49.30138,8.8351919,548355
Pforzheim,SK Pforzheim,Stadtkreis,Baden-Württemberg,08231,48.879669,8.7136825,125957
Calw,LK Calw,Landkreis,Baden-Württemberg,08235,48.678608,8.6359698,159201
Enzkreis,LK Enzkreis,Landkreis,Baden-Württemberg,08236,48.970536,8.8293892,199556
Freudenstadt,LK Freudenstadt,Landkreis,Baden-Württemberg,08237,48.47664,8.4627154,118243
Freiburg im Breisgau,SK Freiburg i.Breisgau,Stadtkreis,Baden-Württemberg,08311,47.995554,7.8181515,231195
Breisgau-Hochschwarzwald,LK Breisgau-Hochschwarzwald,Landkreis,Baden-Württemberg,08315,47.927627,8.0907884,263601
Emmendingen,LK Emmendingen,Landkreis,Baden-Württemberg,08316,48.151376,7.9001308,166408
Ortenaukreis,LK Ortenaukreis,Landkreis,Baden-Württemberg,08317,48.423722,8.0146389,430953
Rottweil,LK Rottweil,Landkreis,Baden-Württemberg,08325,48.259118,8.5273592,139878
Schwarzwald-Baar-Kreis,LK Schwarzwald-Baar-Kreis,Landkreis,Baden-Württemberg,08326,48.023167,8.4060389,212506
Tuttlingen,LK Tuttlingen,Landkreis,Baden-Württemberg,08327,48.015076,8.7866082,140766
Konstanz,LK Konstanz,Landkreis,Baden-Württemberg,08335,47.803101,8.9125795,286305
Lörrach,LK Lörrach,Landkreis,Baden-Württemberg,08336,47.708577,7.7690697,228736
Waldshut,LK Waldshut,Landkreis,Baden-Württemberg,08337,47.700909,8.2182879,171003
Reutlingen,LK Reutlingen,Landkreis,Baden-Württemberg,08415,48.407201,9.3681294,287034
Tübingen,LK Tübingen,Landkreis,Baden-Württemberg,08416,48.482492,8.9878408,228678
Zollernalbkreis,LK Zollernalbkreis,Landkreis,Baden-Württemberg,08417,48.268438,8.9325354,189363
