Ags,Rkiname,Inzidenz,delta_1,delta_1_p,Lat,Long
13076,LK Ludwigslust-Parchim,141.6,1.6,1.4,53.450094,11.534177
14511,SK Chemnitz,201.3,30.4,16.3,50.83261,12.939141
14521,LK Erzgebirgskreis,245.1,18.4,8.1,50.609375,12.945301
14522,LK Mittelsachsen,197.2,31.5,18.2,50.956407,13.137541
14523,LK Vogtlandkreis,281.4,16.3,5.9,50.404913,12.338026
14524,LK Zwickau,230.6,13.7,6.7,50.72636,12.498494
14612,SK Dresden,108.6,12.6,12.3,51.100169,13.799476
14625,LK Bautzen,168.9,30.3,19.7,51.172049,14.3838
14626,LK Görlitz,160,21.4,15,51.13691,14.961263
14627,LK Meißen,150.7,4.3,3.1,51.136632,13.434262
14628,LK Sächsische Schweiz-Osterzgebirge,140.8,24.3,18.8,50.917266,13.871576
14713,SK Leipzig,94.6,4.5,6.3,51.333118,12.376875
14729,LK Leipzig,132.1,7.8,5.8,51.203509,12.439818
14730,LK Nordsachsen,177.8,12.8,7.8,51.472542,12.779554
15001,SK Dessau-Roßlau,113.4,12.3,12,51.813909,12.241279
15002,SK Halle,170.3,1.9,1,51.4803,11.974528
15003,SK Magdeburg,98.1,0.2,0.3,52.115977,11.648383
15081,LK Altmarkkreis Salzwedel,88.6,1.8,3,52.676729,11.229724
15082,LK Anhalt-Bitterfeld,92.7,15.8,19.2,51.647049,12.299255
15083,LK Börde,108.2,11.5,11.1,52.059045,11.284423
15084,LK Burgenlandkreis,228.6,36,16.4,51.134376,11.83389
15085,LK Harz,152.3,0,0,51.822351,10.95932
15086,LK Jerichower Land,120,3.8,3.2,52.287454,12.029403
15087,LK Mansfeld-Südharz,131.9,12.1,9.4,51.535322,11.354395
15088,LK Saalekreis,171.7,14.3,8.9,51.363372,11.798382
15089,LK Salzlandkreis,124.3,8.6,7.6,51.851445,11.641005
15090,LK Stendal,152,16.9,11.8,52.693177,11.845665
15091,LK Wittenberg,135,9.8,7.5,51.791391,12.791179
16051,SK Erfurt,132.3,5.1,4.4,50.982466,11.020683
16052,SK Gera,253.2,0.8,0.3,50.90074,12.093004
