Ags,Rkiname,Inzidenz_mean,Inzidenz_quart,Inzidenz_quant_90,delta_1_mean,delta_1_med,delta_1_quart,delta_1_quant_90,delta_2_mean,delta_2_med,delta_2_quart,delta_2_quant_90,delta_3_mean,delta_3_med,delta_3_quart,delta_3_quant_90,delta_5_mean,delta_5_med,delta_5_quart,delta_5_quant_90,delta_7_mean,delta_7_med,delta_7_quart,delta_7_quant_90,delta_I4_mean,delta_I4_med,delta_I4_quart,delta_I4_quant_90
05374,LK Oberbergischer Kreis,172.4,212.2,253.1,7.2,6.2,8.9,14,8.2,7.1,12.2,15.4,8.3,6.9,12.3,15.3,8.5,7.5,12.1,15.5,8.7,7.7,12.5,16,9,8.2,12.7,16.4
05378,LK Rheinisch-Bergischer Kreis,103.2,125.7,164.6,4.6,0.9,6.4,14.9,6.8,1.3,10.4,20.1,8.3,1.5,12.2,21.4,9.4,1.4,13.2,22.4,9.2,1.4,12.4,22.8,4.8,1.1,6,15.6
05382,LK Rhein-Sieg-Kreis,90.4,112.5,126.2,8.8,6.6,11.7,16.7,11.6,10.7,14.4,24.5,12.8,11.5,16.9,25.8,13.8,12.4,18,26.5,14.2,12.4,19.6,28.7,15.4,13.2,20.3,29.7
05512,SK Bottrop,90.5,117.6,130.9,4.7,1.4,4.9,11.1,6.3,2.1,8.5,16.6,7,3.1,9.4,18.5,7.3,3.1,8.5,18.7,7.2,3.1,7.7,20,6.4,2.6,5.9,15.4
05513,SK Gelsenkirchen,158.6,205,253.4,4.1,3.3,6.5,8.5,5.4,5.5,7.7,10.2,6.5,6.1,8.5,10.2,6.8,6.3,9.1,10.7,7,6.7,9.4,11.2,7.5,7.1,10,11.9
05515,SK Münster,68.9,89.2,99.8,8.2,7.3,11.1,16.3,9.5,8.4,13.2,18.7,10.1,8.6,14.1,19.8,10.7,9.4,14.6,20.3,11.1,9.9,15.1,20.8,11.4,10.3,15.1,21.5
05554,LK Borken,115.2,137.9,148.4,0.3,0.2,0.4,0.6,0.3,0.2,0.6,0.7,0.4,0.3,0.6,0.8,0.4,0.4,0.6,0.9,0.4,0.4,0.7,0.9,0.5,0.3,0.6,1
05558,LK Coesfeld,67.3,86.9,91.9,1.4,0,1,3.2,1.6,0,1.2,3.4,1.8,0.4,1.5,3.4,1.9,0.6,1.2,3.4,1.9,0.6,1.3,3.2,2.2,1,1.7,3.6
05562,LK Recklinghausen,124.8,154.2,188.7,1,0.7,1.3,2.5,1.6,1.2,2.3,3.3,1.9,1.3,3,3.8,2.3,1.6,3.4,4.6,2.4,1.7,3.7,5.1,2.5,1.6,4.2,5.6
05566,LK Steinfurt,107.8,137.5,162.3,11.5,10.6,14.8,22.1,14.2,11.9,17.6,28.5,14.9,12.4,17.9,33.3,15.3,12.9,18.3,33.7,15.6,13,19.2,34.2,16.5,14.5,20.1,34.8
05570,LK Warendorf,99.3,133.3,166,0.1,0,0.2,0.5,0.2,0,0.4,0.5,0.2,0,0.5,0.6,0.2,0.2,0.5,0.6,0.3,0.2,0.5,0.6,0.3,0.1,0.5,0.6
05711,SK Bielefeld,113.8,168,191.3,12.2,12.3,16.2,22.1,14.2,13.2,19.1,26.5,14.7,13.8,20,27,15.1,14.7,20.5,27.2,15.4,15.1,20.7,27.4,15.9,15.7,20.9,28.7
05754,LK Gütersloh,124.9,177.2,201.1,7.5,6.6,9.6,14.2,8.7,8.1,10.9,15.9,9.1,8.4,10.8,16.4,9.4,8.7,11.2,16.8,9.7,8.8,11.4,17.3,10,9.2,11.5,19.1
05758,LK Herford,124,142.5,167,4.6,2.9,6.8,12.6,5.2,3.3,7.5,12.6,5.2,3.3,7.8,13,5.3,3.5,7.8,13.3,5.3,3.5,7.5,13.2,5.6,4.2,7.7,13.4
05762,LK Höxter,60.2,72.9,77,3,1.4,3.7,5.6,4.4,2.4,5.7,9.9,4.9,3,6.4,10,5.7,3.6,6.8,10.3,6,3.8,7.5,10.6,6.5,4.3,8,11.4
05766,LK Lippe,137.5,174.6,199.4,0.5,0,0.2,0.4,0.6,0,0.2,0.6,0.6,0,0.2,0.7,0.7,0.2,0.4,0.8,0.3,0.2,0.4,0.8,0.3,0.2,0.4,1.1
